"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","微信小程序自动化测试","0","星联助手","0","0","创作","0"
"3","微信小程序自动化测试","0","星灿智话","0","0","技能","0"
"4","微信小程序自动化测试","0","星联助手","0","0","技能","0"
"15","微信小程序自动化测试","0","知微智语","0","0","AI技能","0"
"3","微信小程序自动化测试","0","如风智绘","0","0","首页-消息工具栏","0"
"4","微信小程序自动化测试","0","云泽智语","0","0","技能","0"
"8","微信小程序自动化测试","0","如风智绘","0","0","创作","0"
"1","微信小程序自动化测试","0","知微智语","0","0","我的-会员支付","0"
"20","微信小程序自动化测试","0","星灿智话","0","0","创作","0"
"2","微信小程序自动化测试","0","云泽智语","0","0","首页","0"
"14","微信小程序自动化测试","0","如风智绘","0","0","登录","0"
"1","微信小程序自动化测试","0","星灿智话","0","0","首页","0"
"4","微信小程序自动化测试","0","如风智绘","0","0","技能","0"
"14","微信小程序自动化测试","0","云泽智语","0","0","创作","0"
"2","微信小程序自动化测试","0","星云智点","0","0","首页","0"
"2","微信小程序自动化测试","0","星联助手","0","0","首页","0"
"8","微信小程序自动化测试","0","星云智点","0","0","创作","0"
"3","微信小程序自动化测试","0","如风智绘","0","0","首页","0"
"4","微信小程序自动化测试","0","星云智点","0","0","应用","0"
"1","APP自动化测试","0","如风","0","0","创作","0"
"2","微信小程序自动化测试","0","如风智绘","0","0","我的-会员支付","0"
"1","微信小程序自动化测试","0","知微智语","0","0","我的-收藏","0"
"1","微信小程序自动化测试","0","知微智语","0","0","AI应用-音乐","0"
"1","微信小程序自动化测试","0","知微智语","0","0","我的-历史问答","0"
"1","微信小程序自动化测试","0","知微智语","0","0","首页","0"
"1","微信小程序自动化测试","0","知微智语","0","0","AI应用-绘画","0"
"1","微信小程序自动化测试","0","如风智绘","0","0","我的-历史问答","0"
"1","微信小程序自动化测试","0","如风智绘","0","0","我的-收藏","0"
"1","微信小程序自动化测试","0","知微智语","0","0","AI应用-视频","0"
"1","微信小程序自动化测试","0","如风智绘","0","0","入口-微信侧","0"
