"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"详情页「创作」,字段 `*要求`","0","个性签名输入要求并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"技能页点「立即生成」会跳到「创作记录」列表页 —— 和云泽那边一样,
        **不等生成完成**(记录页只是进度展示,结果不在这页看),
        确认跳过去了就截图、然后返回列表","0","AI绘画输入描述词并立即生成","case","2026-09-26","broken","2026-09-26","TestXingcanSkill","test_xingcan_skill","",""
"点「AI音乐」(音乐生成那张卡)→ 详情页「音乐创作」→ 填两个字段
        → 立即生成 → 截图 → 返回","0","AI音乐输入歌曲名称与描述并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianSkill","test_xinglian_skill","",""
"详情页「创作」,字段 `*情境描述`","0","阅读帮手输入情境描述并立即生成","case","2026-09-26","broken","2026-09-26","TestXinglianCreate","test_xinglian_create","",""
"","0","写作文-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
"⚠️ 消耗 1 条对话配额。

        **判据是""生成真的结束了"",不是""屏幕变了""**(2026-09-16 实测踩到):
        点完重写,先冒出来的全是过程文字 —— 被重新问一遍的问题气泡、「加载中,请稍等」、
        「暂停」按钮 —— 原来那个""等 2 秒看有没有 3 条新文字""的判据当场就满足,
        于是截图拍到的是「加载中」、重写结果一个字都没进画面,用例却报绿(假绿 ✗)。

        而且这家**重写不是原地替换**:它把问题重新问一遍,旧回复留在上面,
        下面新增一个提问气泡 + 新回复 —— 所以""屏幕文字变多""更不能当生成完的信号。

        现在分两段等:
        ① 等它**进入**生成态(20s 没进去 = 这一下点空了,单独报错,别赖生成慢);
        ② 等""生成中""字样**消失**并且回复内容确实变了。","0","消息工具栏-重写(重新生成,回复内容变了)","case","2026-09-26","broken","2026-09-26","TestRufengMiniToolbar","test_rufeng_mini_toolbar","",""
"点 AI音乐 → 校验详情页 → 输入歌曲名称/描述 → 点「立即生成」
        (会跳到创作记录页,按用户要求不等生成完成)→ 截图 → 返回列表","0","AI音乐输入歌曲名称与描述并立即生成","case","2026-09-26","broken","2026-09-26","TestYunzeSkill","test_yunze_skill","",""
"详情页「创作」,字段 `*作文题目`","0","写作文作文题目并立即生成","case","2026-09-26","broken","2026-09-26","TestRufengMiniCreate","test_rufeng_mini_create","",""
"我的 → 点「去开通」→ 勾选用户支付协议 → 立即支付 → 确认办理
        → 拉起微信支付界面(截图即返回,不付款)","0","开通会员-走到支付收银台","case","2026-09-26","broken","2026-09-26","TestZhiweiVip","test_zhiwei_vip","",""
"","0","菜谱大全输入菜品名称","case","2026-09-26","broken","2026-09-26","TestXingcanCreate","test_xingcan_create","",""
"","0","外卖好评-生成结果","case","2026-09-26","broken","2026-09-26","TestZhiweiSkill","test_zhiwei_skill","",""
